Animal ID,Name_Intake,DateTime_Intake,MonthYear_Intake,Found Location,Intake Type,Intake Condition,Animal Type_Intake,Sex upon Intake,Age upon Intake,Breed_Intake,Color_Intake,Name_Outcome,DateTime_Outcome,MonthYear_Outcome,Date of Birth,Animal Type_Outcome,Sex upon Outcome,Age upon Outcome,Breed_Outcome,Color_Outcome,binary_outcome
A716599,,11/21/2015 03:48:00 PM,11/21/2015 03:48:00 PM,4700 N Capital Of Texas Hwy in Austin (TX),Stray,Normal,Cat,Unknown,1 year,Domestic Shorthair Mix,Brown Tabby/White,,11/30/2015 07:45:00 PM,11/30/2015 07:45:00 PM,11/21/2014,Cat,Unknown,1 year,Domestic Shorthair Mix,Brown Tabby/White,0.0
A804392,*Rose,09/14/2019 11:13:00 AM,09/14/2019 11:13:00 AM,Austin (TX),Owner Surrender,Normal,Cat,Intact Female,5 months,Domestic Shorthair Mix,Orange Tabby/White,*Rose,10/09/2019 11:32:00 AM,10/09/2019 11:32:00 AM,04/14/2019,Cat,Spayed Female,5 months,Domestic Shorthair Mix,Orange Tabby/White,0.0
A759053,Thelma,09/26/2017 11:23:00 AM,09/26/2017 11:23:00 AM,6001 Manchaca Road in Austin (TX),Stray,Normal,Dog,Intact Female,2 months,Yorkshire Terrier Mix,White,Thelma,09/28/2017 04:54:00 PM,09/28/2017 04:54:00 PM,07/25/2017,Dog,Intact Female,2 months,Yorkshire Terrier Mix,White,0.0
A688283,Metta,09/17/2014 01:17:00 PM,09/17/2014 01:17:00 PM,Austin (TX),Euthanasia Request,Sick,Other,Intact Female,8 years,Ferret,Brown,Metta,09/17/2014 05:59:00 PM,09/17/2014 05:59:00 PM,09/17/2006,Other,Intact Female,8 years,Ferret,Brown,1.0
A721288,Fancy,03/06/2016 02:59:00 PM,03/06/2016 02:59:00 PM,Outside Jurisdiction,Owner Surrender,Normal,Dog,Spayed Female,2 months,Labrador Retriever Mix,Black/White,Fancy,03/07/2016 05:44:00 PM,03/07/2016 05:44:00 PM,12/25/2015,Dog,Spayed Female,2 months,Labrador Retriever Mix,Black/White,0.0
A702654,*Amber,05/16/2015 03:32:00 PM,05/16/2015 03:32:00 PM,E William Cannon Dr And Ih35 in Austin (TX),Stray,Normal,Cat,Intact Female,2 months,Domestic Shorthair Mix,Tortie,*Amber,08/11/2015 12:00:00 AM,08/11/2015 12:00:00 AM,03/08/2015,Cat,Spayed Female,5 months,Domestic Shorthair Mix,Tortie,0.0
A769196,Fiona,04/01/2018 11:28:00 AM,04/01/2018 11:28:00 AM,Richardson And Felix in Austin (TX),Stray,Normal,Dog,Intact Female,1 year,Staffordshire Mix,Blue/White,Fiona,06/01/2018 02:40:00 PM,06/01/2018 02:40:00 PM,04/01/2017,Dog,Spayed Female,1 year,Staffordshire Mix,Blue/White,0.0
A777604,Billy,07/31/2018 12:10:00 PM,07/31/2018 12:10:00 PM,East 2Nd Street And North Pleasant Valley Road in Austin (TX),Stray,Normal,Dog,Intact Male,5 months,Great Pyrenees Mix,White,Billy,08/07/2018 03:59:00 PM,08/07/2018 03:59:00 PM,02/16/2018,Dog,Neutered Male,5 months,Great Pyrenees Mix,White,0.0
A710310,*Mindy,08/21/2015 12:02:00 PM,08/21/2015 12:02:00 PM,9418 Carson Creek Blvd in Austin (TX),Stray,Normal,Dog,Intact Female,6 months,Labrador Retriever Mix,Buff,*Mindy,08/31/2015 11:56:00 AM,08/31/2015 11:56:00 AM,01/21/2015,Dog,Spayed Female,7 months,Labrador Retriever Mix,Buff,0.0
A678749,,05/12/2014 02:48:00 PM,05/12/2014 02:48:00 PM,2100 South Congress in Austin (TX),Stray,Normal,Cat,Intact Female,3 weeks,Domestic Shorthair Mix,Black,,05/12/2014 06:40:00 PM,05/12/2014 06:40:00 PM,04/20/2014,Cat,Intact Female,3 weeks,Domestic Shorthair Mix,Black,0.0
A744691,Halo,06/12/2017 12:04:00 PM,06/12/2017 12:04:00 PM,4807 Munson St in Austin (TX),Owner Surrender,Normal,Dog,Intact Female,1 year,German Shepherd Mix,Brown/Black,Halo,08/18/2017 05:00:00 PM,08/18/2017 05:00:00 PM,03/06/2016,Dog,Spayed Female,1 year,German Shepherd Mix,Brown/Black,0.0
A661807,,10/29/2013 06:37:00 PM,10/29/2013 06:37:00 PM,Austin (TX),Owner Surrender,Normal,Dog,Intact Female,2 months,Australian Cattle Dog Mix,White/Black,,11/03/2013 06:51:00 PM,11/03/2013 06:51:00 PM,08/24/2013,Dog,Spayed Female,2 months,Australian Cattle Dog Mix,White/Black,0.0
A803027,*Beatrice,08/26/2019 01:12:00 PM,08/26/2019 01:12:00 PM,615 West Elray in Austin (TX),Stray,Normal,Cat,Intact Female,3 weeks,Domestic Shorthair Mix,Brown Tabby/White,*Beatrice,11/04/2019 01:33:00 PM,11/04/2019 01:33:00 PM,08/04/2019,Cat,Spayed Female,3 months,Domestic Shorthair Mix,Brown Tabby/White,0.0
A753515,,07/07/2017 03:45:00 PM,07/07/2017 03:45:00 PM,10225 Research in Austin (TX),Stray,Normal,Cat,Intact Female,1 month,Domestic Longhair Mix,Brown Tabby/White,,07/11/2017 06:04:00 PM,07/11/2017 06:04:00 PM,05/16/2017,Cat,Spayed Female,1 month,Domestic Longhair Mix,Brown Tabby/White,0.0
A678661,,05/11/2014 02:00:00 PM,05/11/2014 02:00:00 PM,7201 Levander Loop in Austin (TX),Stray,Nursing,Cat,Intact Female,2 weeks,Domestic Shorthair Mix,Blue,,05/11/2014 03:01:00 PM,05/11/2014 03:01:00 PM,04/26/2014,Cat,Intact Female,2 weeks,Domestic Shorthair Mix,Blue,0.0
A804855,*Puffkin,09/19/2019 03:54:00 PM,09/19/2019 03:54:00 PM,18200 Park Drive in Jonestown (TX),Stray,Normal,Cat,Intact Female,3 weeks,Domestic Longhair,Brown Tabby,*Puffkin,11/22/2019 01:08:00 PM,11/22/2019 01:08:00 PM,08/29/2019,Cat,Spayed Female,2 months,Domestic Longhair,Brown Tabby,0.0
A750295,,05/25/2017 12:51:00 PM,05/25/2017 12:51:00 PM,1705 Frontier Valley Dr in Austin (TX),Stray,Normal,Dog,Spayed Female,4 years,Labrador Retriever Mix,Black,,05/25/2017 03:46:00 PM,05/25/2017 03:46:00 PM,05/25/2013,Dog,Spayed Female,4 years,Labrador Retriever Mix,Black,0.0
A687802,Daisy,09/10/2014 12:03:00 PM,09/10/2014 12:03:00 PM,1308 Thornberry Rd in Del Valle (TX),Stray,Normal,Dog,Intact Female,11 months,Chihuahua Longhair Mix,Tricolor,Daisy,09/14/2014 05:32:00 PM,09/14/2014 05:32:00 PM,09/11/2013,Dog,Spayed Female,1 year,Chihuahua Longhair Mix,Tricolor,0.0
A807607,Roscoe,10/27/2019 02:29:00 PM,10/27/2019 02:29:00 PM,1431 And Lake Crest in Jonestown (TX),Stray,Normal,Dog,Neutered Male,13 years,Mastiff,Brown,Roscoe,10/27/2019 05:34:00 PM,10/27/2019 05:34:00 PM,10/27/2006,Dog,Neutered Male,13 years,Mastiff,Brown,0.0
A745755,Maya,03/23/2017 12:57:00 PM,03/23/2017 12:57:00 PM,1200 Montopolis Dr in Austin (TX),Stray,Normal,Dog,Intact Female,1 year,Labrador Retriever Mix,Black/White,Maya,03/23/2017 05:24:00 PM,03/23/2017 05:24:00 PM,02/23/2016,Dog,Intact Female,1 year,Labrador Retriever Mix,Black/White,0.0
A688368,,09/18/2014 03:10:00 PM,09/18/2014 03:10:00 PM,6001 Broken Spoke Trail in Austin (TX),Stray,Normal,Cat,Intact Male,2 weeks,Domestic Shorthair Mix,Brown Tabby,,09/18/2014 04:15:00 PM,09/18/2014 04:15:00 PM,09/03/2014,Cat,Intact Male,2 weeks,Domestic Shorthair Mix,Brown Tabby,0.0
A681341,Pepperonirol,06/15/2014 10:35:00 AM,06/15/2014 10:35:00 AM,5338 Thunder Creek in Austin (TX),Stray,Normal,Cat,Intact Female,2 weeks,Domestic Shorthair Mix,Black/White,Pepperonirol,08/21/2014 11:14:00 AM,08/21/2014 11:14:00 AM,06/01/2014,Cat,Spayed Female,2 months,Domestic Shorthair Mix,Black/White,0.0
A724131,Kahnrad,04/12/2016 02:22:00 PM,04/12/2016 02:22:00 PM,14909 Lucerne Dr in Travis (TX),Stray,Normal,Dog,Intact Male,4 months,Dachshund Mix,Brown Brindle/White,Kahnrad,04/16/2016 05:07:00 PM,04/16/2016 05:07:00 PM,11/14/2015,Dog,Neutered Male,5 months,Dachshund Mix,Brown Brindle/White,0.0
A715127,*Maddie,10/31/2015 04:42:00 PM,10/31/2015 04:42:00 PM,10515 Robinwood Dr in Austin (TX),Stray,Normal,Dog,Intact Female,1 year,Chihuahua Shorthair Mix,White/Black,*Maddie,11/05/2015 12:00:00 AM,11/05/2015 12:00:00 AM,10/31/2014,Dog,Intact Female,1 year,Chihuahua Shorthair Mix,White/Black,0.0
A696586,Gizmo,02/07/2015 04:31:00 PM,02/07/2015 04:31:00 PM,Pflugerville (TX),Owner Surrender,Normal,Dog,Intact Male,1 year,Australian Shepherd Mix,Brown,Gizmo,02/14/2015 03:06:00 PM,02/14/2015 03:06:00 PM,02/07/2014,Dog,Neutered Male,1 year,Australian Shepherd Mix,Brown,0.0
A675145,,03/24/2014 11:35:00 AM,03/24/2014 11:35:00 AM,905 Bedford in Austin (TX),Stray,Injured,Cat,Unknown,2 years,Domestic Shorthair,Black/White,,03/24/2014 12:12:00 PM,03/24/2014 12:12:00 PM,03/24/2012,Cat,Unknown,2 years,Domestic Shorthair,Black/White,1.0
A737037,Elvira,10/21/2016 12:26:00 PM,10/21/2016 12:26:00 PM,Austin (TX),Owner Surrender,Normal,Cat,Intact Male,2 months,Domestic Shorthair Mix,Black/White,Elvira,10/30/2016 05:48:00 PM,10/30/2016 05:48:00 PM,08/10/2016,Cat,Neutered Male,2 months,Domestic Shorthair Mix,Black/White,0.0
A712728,*Petunia,09/27/2015 12:42:00 PM,09/27/2015 12:42:00 PM,Austin (TX),Stray,Normal,Cat,Intact Female,1 month,Domestic Shorthair Mix,Black/White,*Petunia,10/19/2015 08:14:00 PM,10/19/2015 08:14:00 PM,08/12/2015,Cat,Spayed Female,2 months,Domestic Shorthair Mix,Black/White,0.0
A731689,Ziggy,10/14/2017 01:29:00 PM,10/14/2017 01:29:00 PM,Ih35 And East Saint Johns in Austin (TX),Stray,Normal,Dog,Spayed Female,1 year,Pit Bull Mix,Black/White,Ziggy,10/18/2017 11:07:00 AM,10/18/2017 11:07:00 AM,01/26/2016,Dog,Spayed Female,1 year,Pit Bull Mix,Black/White,0.0
A666861,,11/08/2013 11:57:00 AM,11/08/2013 11:57:00 AM,Ben White/Riverside in Austin (TX),Stray,Normal,Dog,Intact Male,1 year,Cardigan Welsh Corgi Mix,White/Tan,,11/16/2013 03:08:00 PM,11/16/2013 03:08:00 PM,11/08/2012,Dog,Neutered Male,1 year,Cardigan Welsh Corgi Mix,White/Tan,0.0
A683735,,07/14/2014 04:12:00 PM,07/14/2014 04:12:00 PM,1700 Burton Dr #401 in Austin (TX),Public Assist,Normal,Cat,Intact Female,3 weeks,Domestic Shorthair Mix,Black,,07/25/2014 04:47:00 PM,07/25/2014 04:47:00 PM,06/23/2014,Cat,Intact Female,4 weeks,Domestic Shorthair Mix,Black,0.0
A733938,*Dot,08/29/2016 04:25:00 PM,08/29/2016 04:25:00 PM,Cameron Rd & E St Johns Ave in Austin (TX),Stray,Normal,Cat,Intact Female,1 month,Domestic Shorthair Mix,Black,*Dot,09/03/2016 02:34:00 PM,09/03/2016 02:34:00 PM,07/19/2016,Cat,Intact Female,1 month,Domestic Shorthair Mix,Black,0.0
A766537,,02/11/2018 12:58:00 PM,02/11/2018 12:58:00 PM,Decker And Loyola in Austin (TX),Stray,Injured,Cat,Intact Male,2 years,Domestic Shorthair Mix,Black,,02/11/2018 01:32:00 PM,02/11/2018 01:32:00 PM,02/11/2016,Cat,Intact Male,2 years,Domestic Shorthair Mix,Black,1.0
A744429,,02/28/2017 04:14:00 PM,02/28/2017 04:14:00 PM,Outside Jurisdiction,Stray,Normal,Dog,Intact Male,2 years,Boston Terrier/Chihuahua Shorthair,Brown Brindle/White,,03/05/2017 05:11:00 PM,03/05/2017 05:11:00 PM,02/28/2015,Dog,Neutered Male,2 years,Boston Terrier/Chihuahua Shorthair,Brown Brindle/White,0.0
A740200,*Moon,12/12/2016 02:31:00 PM,12/12/2016 02:31:00 PM,25212 Lakeview Drive in Travis (TX),Stray,Injured,Cat,Intact Male,2 months,Domestic Shorthair Mix,Blue,*Moon,12/23/2016 06:07:00 PM,12/23/2016 06:07:00 PM,09/12/2016,Cat,Neutered Male,3 months,Domestic Shorthair Mix,Blue,0.0
A686189,,08/18/2014 12:57:00 PM,08/18/2014 12:57:00 PM,411 Brazos St in Austin (TX),Stray,Normal,Cat,Intact Male,2 weeks,Domestic Shorthair Mix,Brown Tabby/White,,08/18/2014 02:29:00 PM,08/18/2014 02:29:00 PM,08/03/2014,Cat,Intact Male,2 weeks,Domestic Shorthair Mix,Brown Tabby/White,0.0
A677870,,04/30/2014 02:47:00 PM,04/30/2014 02:47:00 PM,5140 China Garden Dr in Austin (TX),Stray,Normal,Cat,Intact Male,1 year,Domestic Shorthair Mix,Brown Tabby,,05/01/2014 04:25:00 PM,05/01/2014 04:25:00 PM,04/30/2013,Cat,Intact Male,1 year,Domestic Shorthair Mix,Brown Tabby,0.0
A808136,Gizmo,11/04/2019 03:51:00 PM,11/04/2019 03:51:00 PM,Austin (TX),Owner Surrender,Normal,Cat,Neutered Male,3 years,Domestic Shorthair,Blue/White,Gizmo,11/22/2019 04:18:00 PM,11/22/2019 04:18:00 PM,11/04/2016,Cat,Neutered Male,3 years,Domestic Shorthair,Blue/White,0.0
A692124,*Sid,11/14/2014 06:55:00 PM,11/14/2014 06:55:00 PM,Nuckols Crossing Rd And Stassney Ln in Austin (TX),Stray,Normal,Dog,Intact Male,1 year,Siberian Husky Mix,Black/Tan,*Sid,11/28/2014 06:48:00 PM,11/28/2014 06:48:00 PM,11/14/2013,Dog,Neutered Male,1 year,Siberian Husky Mix,Black/Tan,0.0
A530589,Chica,08/23/2015 05:25:00 PM,08/23/2015 05:25:00 PM,Wm Cannon And Sunstrip Dr in Austin (TX),Stray,Normal,Dog,Spayed Female,12 years,Labrador Retriever Mix,Black,Chica,08/29/2015 12:11:00 PM,08/29/2015 12:11:00 PM,08/27/2002,Dog,Spayed Female,13 years,Labrador Retriever Mix,Black,0.0
A666760,Amy,11/06/2013 05:36:00 PM,11/06/2013 05:36:00 PM,9000 Fm 969 in Austin (TX),Stray,Normal,Dog,Spayed Female,1 year,German Shepherd Mix,Brown/White,Amy,11/08/2013 05:41:00 PM,11/08/2013 05:41:00 PM,11/06/2012,Dog,Spayed Female,1 year,German Shepherd Mix,Brown/White,0.0
A736796,,10/17/2016 12:48:00 PM,10/17/2016 12:48:00 PM,3019 Alvin Devane Blvd in Austin (TX),Stray,Normal,Cat,Intact Female,1 month,Domestic Shorthair Mix,Black,,10/17/2016 03:41:00 PM,10/17/2016 03:41:00 PM,08/17/2016,Cat,Intact Female,1 month,Domestic Shorthair Mix,Black,0.0
A734253,*Cinnabun,09/03/2016 12:04:00 PM,09/03/2016 12:04:00 PM,2815 Hwy 71 in Austin (TX),Public Assist,Normal,Other,Spayed Female,3 months,Rabbit Sh Mix,Brown,*Cinnabun,09/24/2016 10:51:00 AM,09/24/2016 10:51:00 AM,06/03/2016,Other,Spayed Female,3 months,Rabbit Sh Mix,Brown,1.0
A490893,Mickey,04/27/2016 01:03:00 PM,04/27/2016 01:03:00 PM,Panadero Dr Thaxton Dr in Austin (TX),Stray,Normal,Dog,Neutered Male,9 years,Siberian Husky,Red/White,Mickey,04/28/2016 03:47:00 PM,04/28/2016 03:47:00 PM,01/27/2007,Dog,Neutered Male,9 years,Siberian Husky,Red/White,0.0
A805661,,09/30/2019 12:09:00 PM,09/30/2019 12:09:00 PM,Montoplis And Riverside in Austin (TX),Stray,Normal,Dog,Intact Male,1 year,Wire Hair Fox Terrier,Black/Tan,,09/30/2019 05:02:00 PM,09/30/2019 05:02:00 PM,09/30/2018,Dog,Intact Male,1 year,Wire Hair Fox Terrier,Black/Tan,0.0
A725396,Daisy,07/27/2016 12:00:00 AM,07/27/2016 12:00:00 AM,Austin (TX),Owner Surrender,Normal,Cat,Spayed Female,1 year,Domestic Shorthair Mix,Calico,Daisy,08/18/2016 12:59:00 PM,08/18/2016 12:59:00 PM,04/28/2015,Cat,Spayed Female,1 year,Domestic Shorthair Mix,Calico,0.0
A801056,Reese,07/30/2019 02:55:00 PM,07/30/2019 02:55:00 PM,Austin (TX),Owner Surrender,Normal,Cat,Spayed Female,1 year,Domestic Shorthair,Torbie,Reese,08/24/2019 12:05:00 PM,08/24/2019 12:05:00 PM,07/30/2018,Cat,Spayed Female,1 year,Domestic Shorthair,Torbie,0.0
A669924,Dos,12/30/2013 02:19:00 PM,12/30/2013 02:19:00 PM,2500 Allred Dr in Austin (TX),Stray,Normal,Dog,Neutered Male,2 years,American Bulldog Mix,White/Black,Dos,12/31/2013 12:14:00 PM,12/31/2013 12:14:00 PM,12/30/2011,Dog,Neutered Male,2 years,American Bulldog Mix,White/Black,0.0
A762687,*Ajax,11/24/2017 12:04:00 PM,11/24/2017 12:04:00 PM,Howard Lane And Dessau Road in Austin (TX),Stray,Normal,Dog,Intact Male,2 years,Black/Tan Hound Mix,Brown/White,*Ajax,12/30/2017 01:08:00 PM,12/30/2017 01:08:00 PM,11/24/2015,Dog,Neutered Male,2 years,Black/Tan Hound Mix,Brown/White,0.0
A753475,Caesar,07/06/2017 05:50:00 PM,07/06/2017 05:50:00 PM,Emancipet 7201 Levander Loop in Austin (TX),Stray,Normal,Dog,Neutered Male,6 months,German Shepherd Mix,Brown/Black,Caesar,07/07/2017 03:18:00 PM,07/07/2017 03:18:00 PM,12/06/2016,Dog,Neutered Male,7 months,German Shepherd Mix,Brown/Black,0.0
A697526,Cocoa Kelis,08/14/2016 06:22:00 PM,08/14/2016 06:22:00 PM,Hilldale Dr in Austin (TX),Stray,Normal,Dog,Neutered Male,2 years,Pit Bull,Gray/Tan,Cocoa Kelis,08/16/2016 06:28:00 PM,08/16/2016 06:28:00 PM,02/25/2014,Dog,Neutered Male,2 years,Pit Bull,Gray/Tan,0.0
A777618,,07/31/2018 02:39:00 PM,07/31/2018 02:39:00 PM,4702 Bergfield in Austin (TX),Wildlife,Normal,Other,Unknown,1 year,Raccoon Mix,Black,,07/31/2018 03:32:00 PM,07/31/2018 03:32:00 PM,07/31/2017,Other,Unknown,1 year,Raccoon Mix,Black,1.0
A793029,Murry,04/18/2019 02:08:00 PM,04/18/2019 02:08:00 PM,Austin (TX),Owner Surrender,Normal,Cat,Neutered Male,11 years,Domestic Shorthair Mix,Blue/White,Murry,05/02/2019 10:45:00 AM,05/02/2019 10:45:00 AM,06/18/2007,Cat,Neutered Male,11 years,Domestic Shorthair Mix,Blue/White,0.0
A675212,*Ivy,03/25/2014 11:12:00 AM,03/25/2014 11:12:00 AM,1301 Parker Lane in Austin (TX),Stray,Normal,Cat,Intact Female,4 months,Domestic Shorthair Mix,Chocolate/White,*Ivy,08/23/2014 01:00:00 PM,08/23/2014 01:00:00 PM,10/25/2013,Cat,Spayed Female,9 months,Domestic Shorthair Mix,Chocolate/White,0.0
A680235,,05/31/2014 11:28:00 AM,05/31/2014 11:28:00 AM,E 31St St And Medical Arts in Austin (TX),Stray,Normal,Cat,Neutered Male,10 years,Domestic Shorthair Mix,Brown Tabby,,06/07/2014 06:02:00 PM,06/07/2014 06:02:00 PM,05/31/2004,Cat,Neutered Male,10 years,Domestic Shorthair Mix,Brown Tabby,1.0
A616559,Stella,11/07/2013 01:34:00 PM,11/07/2013 01:34:00 PM,7310 Carver Ave in Austin (TX),Stray,Normal,Dog,Spayed Female,3 years,Pit Bull Mix,White,Stella,11/13/2013 11:01:00 AM,11/13/2013 11:01:00 AM,06/25/2010,Dog,Spayed Female,3 years,Pit Bull Mix,White,0.0
A749522,,05/16/2017 09:31:00 AM,05/16/2017 09:31:00 AM,7201 Levander Loop in Austin (TX),Stray,Normal,Cat,Intact Male,1 day,Domestic Shorthair Mix,Orange Tabby,,06/13/2017 06:02:00 PM,06/13/2017 06:02:00 PM,05/15/2017,Cat,Intact Male,4 weeks,Domestic Shorthair Mix,Orange Tabby,0.0
A783591,,11/02/2018 01:38:00 PM,11/02/2018 01:38:00 PM,Austin (TX),Stray,Normal,Dog,Intact Male,1 year,Chihuahua Shorthair Mix,Brown/White,,11/09/2018 01:01:00 PM,11/09/2018 01:01:00 PM,11/02/2017,Dog,Intact Male,1 year,Chihuahua Shorthair Mix,Brown/White,0.0
A793676,Oso,04/28/2019 02:00:00 PM,04/28/2019 02:00:00 PM,Manor (TX),Owner Surrender,Normal,Dog,Intact Male,10 years,Great Pyrenees,White,Oso,05/04/2019 11:19:00 AM,05/04/2019 11:19:00 AM,04/28/2009,Dog,Intact Male,10 years,Great Pyrenees,White,0.0
A699994,,04/05/2015 09:39:00 PM,04/05/2015 09:39:00 PM,12135 Thompkins Dr in Austin (TX),Wildlife,Sick,Other,Unknown,5 months,Bat,Brown,,04/06/2015 10:08:00 AM,04/06/2015 10:08:00 AM,10/05/2014,Other,Unknown,6 months,Bat,Brown,1.0
A807823,*Nico,10/30/2019 04:04:00 PM,10/30/2019 04:04:00 PM,702 Lamar Place in Austin (TX),Stray,Normal,Cat,Intact Male,1 month,Domestic Shorthair,Brown Tabby,*Nico,12/14/2019 01:30:00 PM,12/14/2019 01:30:00 PM,09/02/2019,Cat,Neutered Male,3 months,Domestic Shorthair,Brown Tabby,0.0
A745681,Asiago,03/22/2017 11:01:00 AM,03/22/2017 11:01:00 AM,Badger Bend And Smith Oak Trl in Austin (TX),Stray,Normal,Cat,Neutered Male,1 year,Domestic Shorthair Mix,Blue/White,Asiago,03/27/2017 12:00:00 AM,03/27/2017 12:00:00 AM,03/22/2016,Cat,Neutered Male,1 year,Domestic Shorthair Mix,Blue/White,0.0
A690210,,10/16/2014 12:36:00 PM,10/16/2014 12:36:00 PM,7000 Ardath Sr in Austin (TX),Wildlife,Injured,Other,Intact Female,2 years,Squirrel Mix,Brown,,10/16/2014 12:53:00 PM,10/16/2014 12:53:00 PM,10/16/2012,Other,Intact Female,2 years,Squirrel Mix,Brown,1.0
A732728,,08/12/2016 04:24:00 PM,08/12/2016 04:24:00 PM,7619 Scenic Brook in Austin (TX),Public Assist,Sick,Cat,Intact Male,4 months,Domestic Shorthair Mix,Black,,08/13/2016 04:42:00 PM,08/13/2016 04:42:00 PM,04/12/2016,Cat,Intact Male,4 months,Domestic Shorthair Mix,Black,0.0
A697475,Coco,02/24/2015 02:32:00 PM,02/24/2015 02:32:00 PM,12508 Briarcreek Loop in Travis (TX),Stray,Sick,Dog,Intact Female,14 years,Dachshund Mix,Red,Coco,03/01/2015 02:53:00 PM,03/01/2015 02:53:00 PM,02/24/2001,Dog,Intact Female,14 years,Dachshund Mix,Red,1.0
