Animal ID,Name_Intake,DateTime_Intake,Found Location,Intake Type,Intake Condition,Animal Type_Intake,Sex upon Intake,Breed_Intake,Color_Intake,DateTime_Outcome,Date of Birth,Sex upon Outcome,binary_outcome,Age Outcome,Age Intake
A687802,Daisy,2014-09-10 12:03:00,1308 Thornberry Rd in Del Valle (TX),Stray,Normal,Dog,Intact Female,Chihuahua Longhair Mix,Tricolor,2014-09-14 17:32:00,2013-09-11 00:00:00,Spayed Female,positive,368,364
A807607,Roscoe,2019-10-27 14:29:00,1431 And Lake Crest in Jonestown (TX),Stray,Normal,Dog,Neutered Male,Mastiff,Brown,2019-10-27 17:34:00,2006-10-27 00:00:00,Neutered Male,positive,4748,4748
A745755,Maya,2017-03-23 12:57:00,1200 Montopolis Dr in Austin (TX),Stray,Normal,Dog,Intact Female,Labrador Retriever Mix,Black/White,2017-03-23 17:24:00,2016-02-23 00:00:00,Intact Female,positive,394,394
A688368,,2014-09-18 15:10:00,6001 Broken Spoke Trail in Austin (TX),Stray,Normal,Cat,Intact Male,Domestic Shorthair Mix,Brown Tabby,2014-09-18 16:15:00,2014-09-03 00:00:00,Intact Male,positive,15,15
A681341,Pepperonirol,2014-06-15 10:35:00,5338 Thunder Creek in Austin (TX),Stray,Normal,Cat,Intact Female,Domestic Shorthair Mix,Black/White,2014-08-21 11:14:00,2014-06-01 00:00:00,Spayed Female,positive,81,14
A724131,Kahnrad,2016-04-12 14:22:00,14909 Lucerne Dr in Travis (TX),Stray,Normal,Dog,Intact Male,Dachshund Mix,Brown Brindle/White,2016-04-16 17:07:00,2015-11-14 00:00:00,Neutered Male,positive,154,150
A715127,*Maddie,2015-10-31 16:42:00,10515 Robinwood Dr in Austin (TX),Stray,Normal,Dog,Intact Female,Chihuahua Shorthair Mix,White/Black,2015-11-05 00:00:00,2014-10-31 00:00:00,Intact Female,positive,370,365
A696586,Gizmo,2015-02-07 16:31:00,Pflugerville (TX),Owner Surrender,Normal,Dog,Intact Male,Australian Shepherd Mix,Brown,2015-02-14 15:06:00,2014-02-07 00:00:00,Neutered Male,positive,372,365
A675145,,2014-03-24 11:35:00,905 Bedford in Austin (TX),Stray,Injured,Cat,Unknown,Domestic Shorthair,Black/White,2014-03-24 12:12:00,2012-03-24 00:00:00,Unknown,negative,730,730
A737037,Elvira,2016-10-21 12:26:00,Austin (TX),Owner Surrender,Normal,Cat,Intact Male,Domestic Shorthair Mix,Black/White,2016-10-30 17:48:00,2016-08-10 00:00:00,Neutered Male,positive,81,72
A712728,*Petunia,2015-09-27 12:42:00,Austin (TX),Stray,Normal,Cat,Intact Female,Domestic Shorthair Mix,Black/White,2015-10-19 20:14:00,2015-08-12 00:00:00,Spayed Female,positive,68,46
A731689,Ziggy,2017-10-14 13:29:00,Ih35 And East Saint Johns in Austin (TX),Stray,Normal,Dog,Spayed Female,Pit Bull Mix,Black/White,2017-10-18 11:07:00,2016-01-26 00:00:00,Spayed Female,positive,631,627
A666861,,2013-11-08 11:57:00,Ben White/Riverside in Austin (TX),Stray,Normal,Dog,Intact Male,Cardigan Welsh Corgi Mix,White/Tan,2013-11-16 15:08:00,2012-11-08 00:00:00,Neutered Male,positive,373,365
A683735,,2014-07-14 16:12:00,1700 Burton Dr #401 in Austin (TX),Public Assist,Normal,Cat,Intact Female,Domestic Shorthair Mix,Black,2014-07-25 16:47:00,2014-06-23 00:00:00,Intact Female,positive,32,21
A733938,*Dot,2016-08-29 16:25:00,Cameron Rd & E St Johns Ave in Austin (TX),Stray,Normal,Cat,Intact Female,Domestic Shorthair Mix,Black,2016-09-03 14:34:00,2016-07-19 00:00:00,Intact Female,positive,46,41
A766537,,2018-02-11 12:58:00,Decker And Loyola in Austin (TX),Stray,Injured,Cat,Intact Male,Domestic Shorthair Mix,Black,2018-02-11 13:32:00,2016-02-11 00:00:00,Intact Male,negative,731,731
A744429,,2017-02-28 16:14:00,Outside Jurisdiction,Stray,Normal,Dog,Intact Male,Boston Terrier/Chihuahua Shorthair,Brown Brindle/White,2017-03-05 17:11:00,2015-02-28 00:00:00,Neutered Male,positive,736,731
A740200,*Moon,2016-12-12 14:31:00,25212 Lakeview Drive in Travis (TX),Stray,Injured,Cat,Intact Male,Domestic Shorthair Mix,Blue,2016-12-23 18:07:00,2016-09-12 00:00:00,Neutered Male,positive,102,91
A686189,,2014-08-18 12:57:00,411 Brazos St in Austin (TX),Stray,Normal,Cat,Intact Male,Domestic Shorthair Mix,Brown Tabby/White,2014-08-18 14:29:00,2014-08-03 00:00:00,Intact Male,positive,15,15
A677870,,2014-04-30 14:47:00,5140 China Garden Dr in Austin (TX),Stray,Normal,Cat,Intact Male,Domestic Shorthair Mix,Brown Tabby,2014-05-01 16:25:00,2013-04-30 00:00:00,Intact Male,positive,366,365
A808136,Gizmo,2019-11-04 15:51:00,Austin (TX),Owner Surrender,Normal,Cat,Neutered Male,Domestic Shorthair,Blue/White,2019-11-22 16:18:00,2016-11-04 00:00:00,Neutered Male,positive,1113,1095
A692124,*Sid,2014-11-14 18:55:00,Nuckols Crossing Rd And Stassney Ln in Austin (TX),Stray,Normal,Dog,Intact Male,Siberian Husky Mix,Black/Tan,2014-11-28 18:48:00,2013-11-14 00:00:00,Neutered Male,positive,379,365
A530589,Chica,2015-08-23 17:25:00,Wm Cannon And Sunstrip Dr in Austin (TX),Stray,Normal,Dog,Spayed Female,Labrador Retriever Mix,Black,2015-08-29 12:11:00,2002-08-27 00:00:00,Spayed Female,positive,4750,4744
A666760,Amy,2013-11-06 17:36:00,9000 Fm 969 in Austin (TX),Stray,Normal,Dog,Spayed Female,German Shepherd Mix,Brown/White,2013-11-08 17:41:00,2012-11-06 00:00:00,Spayed Female,positive,367,365
A736796,,2016-10-17 12:48:00,3019 Alvin Devane Blvd in Austin (TX),Stray,Normal,Cat,Intact Female,Domestic Shorthair Mix,Black,2016-10-17 15:41:00,2016-08-17 00:00:00,Intact Female,positive,61,61
A734253,*Cinnabun,2016-09-03 12:04:00,2815 Hwy 71 in Austin (TX),Public Assist,Normal,Other,Spayed Female,Rabbit Sh Mix,Brown,2016-09-24 10:51:00,2016-06-03 00:00:00,Spayed Female,negative,113,92
A490893,Mickey,2016-04-27 13:03:00,Panadero Dr Thaxton Dr in Austin (TX),Stray,Normal,Dog,Neutered Male,Siberian Husky,Red/White,2016-04-28 15:47:00,2007-01-27 00:00:00,Neutered Male,positive,3379,3378
A805661,,2019-09-30 12:09:00,Montoplis And Riverside in Austin (TX),Stray,Normal,Dog,Intact Male,Wire Hair Fox Terrier,Black/Tan,2019-09-30 17:02:00,2018-09-30 00:00:00,Intact Male,positive,365,365
A725396,Daisy,2016-07-27 00:00:00,Austin (TX),Owner Surrender,Normal,Cat,Spayed Female,Domestic Shorthair Mix,Calico,2016-08-18 12:59:00,2015-04-28 00:00:00,Spayed Female,positive,478,456
A801056,Reese,2019-07-30 14:55:00,Austin (TX),Owner Surrender,Normal,Cat,Spayed Female,Domestic Shorthair,Torbie,2019-08-24 12:05:00,2018-07-30 00:00:00,Spayed Female,positive,390,365
A669924,Dos,2013-12-30 14:19:00,2500 Allred Dr in Austin (TX),Stray,Normal,Dog,Neutered Male,American Bulldog Mix,White/Black,2013-12-31 12:14:00,2011-12-30 00:00:00,Neutered Male,positive,732,731
A762687,*Ajax,2017-11-24 12:04:00,Howard Lane And Dessau Road in Austin (TX),Stray,Normal,Dog,Intact Male,Black/Tan Hound Mix,Brown/White,2017-12-30 13:08:00,2015-11-24 00:00:00,Neutered Male,positive,767,731
A753475,Caesar,2017-07-06 17:50:00,Emancipet 7201 Levander Loop in Austin (TX),Stray,Normal,Dog,Neutered Male,German Shepherd Mix,Brown/Black,2017-07-07 15:18:00,2016-12-06 00:00:00,Neutered Male,positive,213,212
A697526,Cocoa Kelis,2016-08-14 18:22:00,Hilldale Dr in Austin (TX),Stray,Normal,Dog,Neutered Male,Pit Bull,Gray/Tan,2016-08-16 18:28:00,2014-02-25 00:00:00,Neutered Male,positive,903,901
A777618,,2018-07-31 14:39:00,4702 Bergfield in Austin (TX),Wildlife,Normal,Other,Unknown,Raccoon Mix,Black,2018-07-31 15:32:00,2017-07-31 00:00:00,Unknown,negative,365,365
A793029,Murry,2019-04-18 14:08:00,Austin (TX),Owner Surrender,Normal,Cat,Neutered Male,Domestic Shorthair Mix,Blue/White,2019-05-02 10:45:00,2007-06-18 00:00:00,Neutered Male,positive,4336,4322
A675212,*Ivy,2014-03-25 11:12:00,1301 Parker Lane in Austin (TX),Stray,Normal,Cat,Intact Female,Domestic Shorthair Mix,Chocolate/White,2014-08-23 13:00:00,2013-10-25 00:00:00,Spayed Female,positive,302,151
A680235,,2014-05-31 11:28:00,E 31St St And Medical Arts in Austin (TX),Stray,Normal,Cat,Neutered Male,Domestic Shorthair Mix,Brown Tabby,2014-06-07 18:02:00,2004-05-31 00:00:00,Neutered Male,negative,3659,3652
A616559,Stella,2013-11-07 13:34:00,7310 Carver Ave in Austin (TX),Stray,Normal,Dog,Spayed Female,Pit Bull Mix,White,2013-11-13 11:01:00,2010-06-25 00:00:00,Spayed Female,positive,1237,1231
A749522,,2017-05-16 09:31:00,7201 Levander Loop in Austin (TX),Stray,Normal,Cat,Intact Male,Domestic Shorthair Mix,Orange Tabby,2017-06-13 18:02:00,2017-05-15 00:00:00,Intact Male,positive,29,1
A783591,,2018-11-02 13:38:00,Austin (TX),Stray,Normal,Dog,Intact Male,Chihuahua Shorthair Mix,Brown/White,2018-11-09 13:01:00,2017-11-02 00:00:00,Intact Male,positive,372,365
A793676,Oso,2019-04-28 14:00:00,Manor (TX),Owner Surrender,Normal,Dog,Intact Male,Great Pyrenees,White,2019-05-04 11:19:00,2009-04-28 00:00:00,Intact Male,positive,3658,3652
A699994,,2015-04-05 21:39:00,12135 Thompkins Dr in Austin (TX),Wildlife,Sick,Other,Unknown,Bat,Brown,2015-04-06 10:08:00,2014-10-05 00:00:00,Unknown,negative,183,182
A807823,*Nico,2019-10-30 16:04:00,702 Lamar Place in Austin (TX),Stray,Normal,Cat,Intact Male,Domestic Shorthair,Brown Tabby,2019-12-14 13:30:00,2019-09-02 00:00:00,Neutered Male,positive,103,58
A745681,Asiago,2017-03-22 11:01:00,Badger Bend And Smith Oak Trl in Austin (TX),Stray,Normal,Cat,Neutered Male,Domestic Shorthair Mix,Blue/White,2017-03-27 00:00:00,2016-03-22 00:00:00,Neutered Male,positive,370,365
A690210,,2014-10-16 12:36:00,7000 Ardath Sr in Austin (TX),Wildlife,Injured,Other,Intact Female,Squirrel Mix,Brown,2014-10-16 12:53:00,2012-10-16 00:00:00,Intact Female,negative,730,730
A732728,,2016-08-12 16:24:00,7619 Scenic Brook in Austin (TX),Public Assist,Sick,Cat,Intact Male,Domestic Shorthair Mix,Black,2016-08-13 16:42:00,2016-04-12 00:00:00,Intact Male,positive,123,122
A697475,Coco,2015-02-24 14:32:00,12508 Briarcreek Loop in Travis (TX),Stray,Sick,Dog,Intact Female,Dachshund Mix,Red,2015-03-01 14:53:00,2001-02-24 00:00:00,Intact Female,negative,5118,5113
A686193,,2014-08-18 13:08:00,9110 Fm 812 in Austin (TX),Stray,Normal,Cat,Intact Male,Domestic Shorthair Mix,Brown Tabby,2014-08-18 14:25:00,2014-08-03 00:00:00,Intact Male,positive,15,15
A694124,*Logan,2014-12-20 16:03:00,6103 Lotus Ln in Austin (TX),Stray,Sick,Dog,Neutered Male,Australian Shepherd Mix,Black/Brown,2014-12-31 13:20:00,2004-12-20 00:00:00,Neutered Male,positive,3663,3652
A775830,China,2018-07-05 12:12:00,4729 Randig Lane in Travis (TX),Stray,Normal,Dog,Intact Female,Chihuahua Shorthair Mix,Brown,2018-07-05 16:43:00,2017-09-05 00:00:00,Intact Female,positive,303,303
A802197,,2019-08-15 11:16:00,15101 Diamondleaf Cove in Austin (TX),Stray,Normal,Dog,Intact Female,Miniature Poodle,Black,2019-08-16 14:13:00,2014-08-15 00:00:00,Intact Female,positive,1827,1826
A682132,,2014-06-24 16:27:00,Ben White/Manchaca in Austin (TX),Stray,Normal,Cat,Intact Male,Domestic Shorthair Mix,Brown Tabby,2014-06-24 19:15:00,2014-06-02 00:00:00,Intact Male,positive,22,22
A788684,Champ,2019-02-08 15:54:00,Austin (TX),Public Assist,Normal,Dog,Intact Male,Pit Bull Mix,Tan,2019-02-15 15:03:00,2017-08-06 00:00:00,Intact Male,positive,558,551
A697791,*Nord,2015-02-28 14:10:00,2110 Thrasher Ln in Austin (TX),Stray,Normal,Cat,Intact Male,Domestic Shorthair Mix,Brown Tabby/White,2015-04-25 18:05:00,2015-02-22 00:00:00,Neutered Male,positive,62,6
A804418,*Nabisco,2019-09-14 14:00:00,Highway 183 And Lakeline Boulevard in Austin (TX),Stray,Normal,Dog,Intact Male,Pointer,Black/White,2019-10-02 13:52:00,2019-01-14 00:00:00,Intact Male,positive,261,243
A693538,,2014-12-10 10:35:00,4900 E Howard Ln in Manor (TX),Owner Surrender,Normal,Dog,Intact Female,German Shepherd Mix,Black/Brown,2014-12-12 11:07:00,2014-10-14 00:00:00,Spayed Female,positive,59,57
A678488,,2014-05-09 13:35:00,Heflin Ln in Austin (TX),Stray,Normal,Cat,Intact Male,Domestic Shorthair Mix,Brown Tabby,2014-05-09 15:26:00,2014-04-17 00:00:00,Intact Male,positive,22,22
A725216,Taylor,2016-05-12 16:55:00,Delta Post Dr And Arizona Oak Ln in Austin (TX),Stray,Normal,Dog,Intact Male,Chihuahua Shorthair Mix,Tan/White,2016-05-14 18:03:00,2013-04-26 00:00:00,Neutered Male,positive,1114,1112
A736163,,2016-10-05 17:34:00,South First in Austin (TX),Stray,Injured,Cat,Intact Female,Domestic Medium Hair Mix,Brown Tabby/White,2016-10-05 17:37:00,2016-08-05 00:00:00,Intact Female,positive,61,61
A694163,Guido,2014-12-21 15:55:00,11911 Tedford St in Austin (TX),Stray,Normal,Dog,Intact Male,Podengo Pequeno Mix,Chocolate/White,2014-12-27 12:30:00,2013-12-21 00:00:00,Neutered Male,positive,371,365
A758423,Blondie,2017-09-16 14:57:00,Austin (TX),Owner Surrender,Normal,Cat,Spayed Female,Domestic Shorthair Mix,Calico,2017-09-17 15:52:00,2010-09-16 00:00:00,Spayed Female,positive,2558,2557
A735681,,2016-09-27 12:27:00,Dittmar Rd And Lunar Dr in Austin (TX),Stray,Normal,Dog,Intact Male,Chihuahua Shorthair Mix,Black,2016-09-28 17:19:00,2016-05-27 00:00:00,Neutered Male,positive,124,123
A810936,*Kurt Russel,2019-12-23 11:52:00,Garfield Lane And Shreveport Drive in Austin (TX),Stray,Normal,Dog,Intact Male,Golden Retriever Mix,Gold/White,2019-12-30 13:14:00,2016-12-23 00:00:00,Intact Male,positive,1102,1095
A666303,*Monty,2013-10-30 08:59:00,4494 Frontier Trl in Austin (TX),Stray,Injured,Cat,Intact Male,Domestic Shorthair Mix,Brown Tabby/Black,2013-12-21 15:42:00,2013-09-26 00:00:00,Neutered Male,positive,86,34
A797311,Rosie,2019-06-12 09:14:00,Webberville And Heflin in Austin (TX),Stray,Normal,Dog,Intact Female,Chihuahua Shorthair Mix,Black/White,2019-06-17 18:41:00,2018-11-12 00:00:00,Spayed Female,positive,217,212
A688460,,2014-09-19 14:31:00,5800 Colton Rd in Austin (TX),Stray,Normal,Cat,Intact Female,Domestic Shorthair Mix,Torbie,2014-11-26 16:46:00,2014-09-03 00:00:00,Spayed Female,positive,84,16
A685067,Lucy,2014-08-01 16:52:00,1901 Crossing Place in Austin (TX),Stray,Normal,Cat,Intact Female,Domestic Shorthair Mix,Blue Tabby/White,2014-08-14 18:45:00,2014-06-16 00:00:00,Intact Female,positive,59,46
A767873,Cookie,2018-07-10 11:59:00,Del Valle (TX),Owner Surrender,Normal,Dog,Spayed Female,German Shepherd Mix,Black/Brown,2018-07-10 15:17:00,2016-03-08 00:00:00,Spayed Female,positive,854,854
A704379,Alex,2015-06-04 11:02:00,Circle Dr And Hwy 290 in Austin (TX),Stray,Normal,Dog,Intact Male,Tibetan Terrier/Lhasa Apso,Black/White,2015-06-08 17:05:00,2014-08-04 00:00:00,Neutered Male,positive,308,304
A794255,*Lucy Rose,2019-05-05 19:13:00,13825 Springheath in Pflugerville (TX),Stray,Normal,Cat,Intact Female,Domestic Shorthair Mix,Tortie,2019-06-22 17:03:00,2019-04-08 00:00:00,Spayed Female,positive,75,27
A782628,,2018-10-18 14:12:00,409 Treys Way in Austin (TX),Stray,Normal,Cat,Intact Female,Domestic Medium Hair Mix,Gray Tabby,2018-10-18 17:22:00,2018-09-21 00:00:00,Intact Female,positive,27,27
A697450,Maya,2015-02-24 07:36:00,Eason St /10Th in Austin (TX),Stray,Normal,Dog,Spayed Female,Border Collie/Labrador Retriever,Black/White,2015-02-24 16:32:00,2012-08-24 00:00:00,Spayed Female,positive,914,914
A728641,,2016-06-06 15:20:00,Manchaca Rd And W Dittmar Rd in Austin (TX),Stray,Normal,Cat,Intact Male,Domestic Shorthair Mix,Black,2016-06-13 14:30:00,2016-04-21 00:00:00,Intact Male,positive,53,46
A712280,Chilito,2015-09-20 13:48:00,8905 Wiley Way in Austin (TX),Stray,Normal,Dog,Intact Male,West Highland/Cairn Terrier,White/Gray,2015-09-23 17:33:00,2014-11-20 00:00:00,Neutered Male,positive,307,304
A670088,*Sasha,2014-01-12 11:16:00,Austin (TX),Owner Surrender,Normal,Dog,Spayed Female,German Shepherd Mix,Sable,2014-01-13 13:05:00,2012-01-01 00:00:00,Spayed Female,positive,743,742
A700882,Sarah,2015-04-21 05:25:00,9121 Nih35 in Austin (TX),Public Assist,Normal,Dog,Intact Female,Labrador Retriever Mix,Black,2015-05-15 16:45:00,2013-04-21 00:00:00,Intact Female,positive,754,730
A678173,Loki,2014-05-05 14:19:00,Austin (TX),Public Assist,Normal,Dog,Neutered Male,Plott Hound Mix,Brown Brindle/White,2014-05-15 15:46:00,2009-05-05 00:00:00,Neutered Male,positive,1836,1826
A800204,,2019-07-17 18:40:00,4710 E 5Th St in Austin (TX),Stray,Sick,Cat,Intact Female,Domestic Longhair,Torbie,2019-07-21 11:03:00,2019-05-17 00:00:00,Intact Female,negative,65,61
A739717,Billie,2016-12-06 12:56:00,Austin (TX),Owner Surrender,Normal,Dog,Spayed Female,German Shepherd Mix,Tan/White,2016-12-24 13:50:00,2008-12-06 00:00:00,Spayed Female,positive,2940,2922
A712896,Pumpkinpatch,2015-09-29 16:22:00,3209 S Ih 35 in Austin (TX),Stray,Normal,Cat,Intact Female,Domestic Medium Hair Mix,Torbie/White,2016-01-07 14:42:00,2015-09-05 00:00:00,Spayed Female,positive,124,24
A788152,Odey,2019-01-27 14:44:00,1620 Bush Coat Lane in Austin (TX),Stray,Normal,Dog,Intact Male,Basset Hound Mix,Red/White,2019-01-28 13:40:00,2014-01-27 00:00:00,Intact Male,positive,1827,1826
A681113,Rocky,2014-06-12 16:54:00,Austin (TX),Public Assist,Normal,Dog,Intact Male,Chihuahua Shorthair/Jack Russell Terrier,Tricolor,2014-06-24 17:28:00,2013-11-12 00:00:00,Neutered Male,positive,224,212
A726839,,2016-05-15 11:41:00,Austin (TX),Owner Surrender,Normal,Cat,Intact Female,Domestic Shorthair Mix,Tortie,2016-05-24 13:17:00,2016-04-15 00:00:00,Intact Female,positive,39,30
A712906,*Wylie,2015-09-29 18:13:00,6502 Porter St in Austin (TX),Stray,Normal,Dog,Intact Female,Finnish Spitz Mix,Sable,2015-10-13 13:49:00,2014-09-29 00:00:00,Spayed Female,positive,379,365
A803917,,2019-09-08 13:32:00,Travis (TX),Owner Surrender,Normal,Dog,Intact Female,Labrador Retriever Mix,Black/White,2019-09-09 13:00:00,2019-09-03 00:00:00,Intact Female,positive,6,5
A728361,Carl Sagan,2016-06-02 22:22:00,301 W 2Nd St in Austin (TX),Stray,Injured,Cat,Intact Male,Domestic Medium Hair Mix,Black,2016-06-08 18:19:00,2016-03-02 00:00:00,Neutered Male,positive,98,92
A785104,Beef,2018-11-26 13:59:00,3206 East Sixteenth Street in Austin (TX),Stray,Normal,Cat,Intact Female,Domestic Medium Hair Mix,Torbie,2018-12-18 15:12:00,2018-10-04 00:00:00,Intact Female,positive,75,53
A629175,Chloe,2017-01-13 14:03:00,Pflugerville (TX),Owner Surrender,Normal,Dog,Spayed Female,Labrador Retriever/German Shepherd,Brown/White,2017-01-29 16:42:00,2011-08-06 00:00:00,Spayed Female,positive,2003,1987
A739666,*Rex,2016-12-05 17:28:00,Harvey And East 17Th in Austin (TX),Stray,Normal,Dog,Intact Male,Black Mouth Cur Mix,Brown/Black,2016-12-18 17:38:00,2016-02-05 00:00:00,Neutered Male,positive,317,304
A605654,Nokia,2014-10-23 12:32:00,Valley Hill Cir And Burton in Austin (TX),Stray,Normal,Dog,Spayed Female,Pit Bull Mix,Blue/White,2014-10-26 15:35:00,2010-12-04 00:00:00,Spayed Female,positive,1422,1419
