Animal ID,Found Location,Intake Type,Intake Condition,Animal Type_Intake,Sex upon Intake,Breed_Intake,Color_Intake,Sex upon Outcome,binary_outcome,Age Outcome,Age Intake,percent,Duration of Stay (in days),monthIntake,monthOutcome
A791186,Monarch Lane in Austin (TX),Stray,Normal,Dog,Intact Female,Chihuahua Shorthair Mix,Black,Spayed Female,positive,390,365,0.1371742112482853,25,3,4
A716599,4700 N Capital Of Texas Hwy in Austin (TX),Stray,Normal,Cat,Unknown,Domestic Shorthair Mix,Brown Tabby/White,Unknown,positive,374,365,0.1371742112482853,9,11,11
A804392,Austin (TX),Owner Surrender,Normal,Cat,Intact Female,Domestic Shorthair Mix,Orange Tabby/White,Spayed Female,positive,178,153,0.6369426751592357,25,9,10
A759053,6001 Manchaca Road in Austin (TX),Stray,Normal,Dog,Intact Female,Yorkshire Terrier Mix,White,Intact Female,positive,65,63,0.1371742112482853,2,9,9
A688283,Austin (TX),Euthanasia Request,Sick,Other,Intact Female,Ferret,Brown,Intact Female,negative,2922,2922,50.0,0,9,9
A721288,Outside Jurisdiction,Owner Surrender,Normal,Dog,Spayed Female,Labrador Retriever Mix,Black/White,Spayed Female,positive,73,72,0.6369426751592357,1,3,3
A702654,E William Cannon Dr And Ih35 in Austin (TX),Stray,Normal,Cat,Intact Female,Domestic Shorthair Mix,Tortie,Spayed Female,positive,156,69,0.1371742112482853,87,5,8
A769196,Richardson And Felix in Austin (TX),Stray,Normal,Dog,Intact Female,Staffordshire Mix,Blue/White,Spayed Female,positive,426,365,0.1371742112482853,61,4,6
A777604,East 2Nd Street And North Pleasant Valley Road in Austin (TX),Stray,Normal,Dog,Intact Male,Great Pyrenees Mix,White,Neutered Male,positive,172,165,0.1371742112482853,7,7,8
A710310,9418 Carson Creek Blvd in Austin (TX),Stray,Normal,Dog,Intact Female,Labrador Retriever Mix,Buff,Spayed Female,positive,222,212,0.1371742112482853,10,8,8
A678749,2100 South Congress in Austin (TX),Stray,Normal,Cat,Intact Female,Domestic Shorthair Mix,Black,Intact Female,positive,22,22,0.1371742112482853,0,5,5
A744691,4807 Munson St in Austin (TX),Owner Surrender,Normal,Dog,Intact Female,German Shepherd Mix,Brown/Black,Spayed Female,positive,530,463,0.6369426751592357,67,6,8
A661807,Austin (TX),Owner Surrender,Normal,Dog,Intact Female,Australian Cattle Dog Mix,White/Black,Spayed Female,positive,71,66,0.6369426751592357,5,10,11
A803027,615 West Elray in Austin (TX),Stray,Normal,Cat,Intact Female,Domestic Shorthair Mix,Brown Tabby/White,Spayed Female,positive,92,22,0.1371742112482853,70,8,11
A753515,10225 Research in Austin (TX),Stray,Normal,Cat,Intact Female,Domestic Longhair Mix,Brown Tabby/White,Spayed Female,positive,56,52,0.1371742112482853,4,7,7
A678661,7201 Levander Loop in Austin (TX),Stray,Nursing,Cat,Intact Female,Domestic Shorthair Mix,Blue,Intact Female,positive,15,15,0.1371742112482853,0,5,5
A804855,18200 Park Drive in Jonestown (TX),Stray,Normal,Cat,Intact Female,Domestic Longhair,Brown Tabby,Spayed Female,positive,85,21,0.1371742112482853,64,9,11
A750295,1705 Frontier Valley Dr in Austin (TX),Stray,Normal,Dog,Spayed Female,Labrador Retriever Mix,Black,Spayed Female,positive,1461,1461,0.1371742112482853,0,5,5
A687802,1308 Thornberry Rd in Del Valle (TX),Stray,Normal,Dog,Intact Female,Chihuahua Longhair Mix,Tricolor,Spayed Female,positive,368,364,0.1371742112482853,4,9,9
A807607,1431 And Lake Crest in Jonestown (TX),Stray,Normal,Dog,Neutered Male,Mastiff,Brown,Neutered Male,positive,4748,4748,0.1371742112482853,0,10,10
A745755,1200 Montopolis Dr in Austin (TX),Stray,Normal,Dog,Intact Female,Labrador Retriever Mix,Black/White,Intact Female,positive,394,394,0.1371742112482853,0,3,3
A688368,6001 Broken Spoke Trail in Austin (TX),Stray,Normal,Cat,Intact Male,Domestic Shorthair Mix,Brown Tabby,Intact Male,positive,15,15,0.1371742112482853,0,9,9
A681341,5338 Thunder Creek in Austin (TX),Stray,Normal,Cat,Intact Female,Domestic Shorthair Mix,Black/White,Spayed Female,positive,81,14,0.1371742112482853,67,6,8
A724131,14909 Lucerne Dr in Travis (TX),Stray,Normal,Dog,Intact Male,Dachshund Mix,Brown Brindle/White,Neutered Male,positive,154,150,0.1371742112482853,4,4,4
A715127,10515 Robinwood Dr in Austin (TX),Stray,Normal,Dog,Intact Female,Chihuahua Shorthair Mix,White/Black,Intact Female,positive,370,365,0.1371742112482853,5,10,11
A696586,Pflugerville (TX),Owner Surrender,Normal,Dog,Intact Male,Australian Shepherd Mix,Brown,Neutered Male,positive,372,365,0.6369426751592357,7,2,2
A675145,905 Bedford in Austin (TX),Stray,Injured,Cat,Unknown,Domestic Shorthair,Black/White,Unknown,negative,730,730,0.1371742112482853,0,3,3
A737037,Austin (TX),Owner Surrender,Normal,Cat,Intact Male,Domestic Shorthair Mix,Black/White,Neutered Male,positive,81,72,0.6369426751592357,9,10,10
A712728,Austin (TX),Stray,Normal,Cat,Intact Female,Domestic Shorthair Mix,Black/White,Spayed Female,positive,68,46,0.1371742112482853,22,9,10
A731689,Ih35 And East Saint Johns in Austin (TX),Stray,Normal,Dog,Spayed Female,Pit Bull Mix,Black/White,Spayed Female,positive,631,627,0.1371742112482853,4,10,10
A666861,Ben White/Riverside in Austin (TX),Stray,Normal,Dog,Intact Male,Cardigan Welsh Corgi Mix,White/Tan,Neutered Male,positive,373,365,0.1371742112482853,8,11,11
A683735,1700 Burton Dr #401 in Austin (TX),Public Assist,Normal,Cat,Intact Female,Domestic Shorthair Mix,Black,Intact Female,positive,32,21,1.7857142857142856,11,7,7
A733938,Cameron Rd & E St Johns Ave in Austin (TX),Stray,Normal,Cat,Intact Female,Domestic Shorthair Mix,Black,Intact Female,positive,46,41,0.1371742112482853,5,8,9
A766537,Decker And Loyola in Austin (TX),Stray,Injured,Cat,Intact Male,Domestic Shorthair Mix,Black,Intact Male,negative,731,731,0.1371742112482853,0,2,2
A744429,Outside Jurisdiction,Stray,Normal,Dog,Intact Male,Boston Terrier/Chihuahua Shorthair,Brown Brindle/White,Neutered Male,positive,736,731,0.1371742112482853,5,2,3
A740200,25212 Lakeview Drive in Travis (TX),Stray,Injured,Cat,Intact Male,Domestic Shorthair Mix,Blue,Neutered Male,positive,102,91,0.1371742112482853,11,12,12
A686189,411 Brazos St in Austin (TX),Stray,Normal,Cat,Intact Male,Domestic Shorthair Mix,Brown Tabby/White,Intact Male,positive,15,15,0.1371742112482853,0,8,8
A677870,5140 China Garden Dr in Austin (TX),Stray,Normal,Cat,Intact Male,Domestic Shorthair Mix,Brown Tabby,Intact Male,positive,366,365,0.1371742112482853,1,4,5
A808136,Austin (TX),Owner Surrender,Normal,Cat,Neutered Male,Domestic Shorthair,Blue/White,Neutered Male,positive,1113,1095,0.6369426751592357,18,11,11
A692124,Nuckols Crossing Rd And Stassney Ln in Austin (TX),Stray,Normal,Dog,Intact Male,Siberian Husky Mix,Black/Tan,Neutered Male,positive,379,365,0.1371742112482853,14,11,11
A530589,Wm Cannon And Sunstrip Dr in Austin (TX),Stray,Normal,Dog,Spayed Female,Labrador Retriever Mix,Black,Spayed Female,positive,4750,4744,0.1371742112482853,6,8,8
A666760,9000 Fm 969 in Austin (TX),Stray,Normal,Dog,Spayed Female,German Shepherd Mix,Brown/White,Spayed Female,positive,367,365,0.1371742112482853,2,11,11
A736796,3019 Alvin Devane Blvd in Austin (TX),Stray,Normal,Cat,Intact Female,Domestic Shorthair Mix,Black,Intact Female,positive,61,61,0.1371742112482853,0,10,10
A734253,2815 Hwy 71 in Austin (TX),Public Assist,Normal,Other,Spayed Female,Rabbit Sh Mix,Brown,Spayed Female,negative,113,92,1.7857142857142856,21,9,9
A490893,Panadero Dr Thaxton Dr in Austin (TX),Stray,Normal,Dog,Neutered Male,Siberian Husky,Red/White,Neutered Male,positive,3379,3378,0.1371742112482853,1,4,4
A805661,Montoplis And Riverside in Austin (TX),Stray,Normal,Dog,Intact Male,Wire Hair Fox Terrier,Black/Tan,Intact Male,positive,365,365,0.1371742112482853,0,9,9
A725396,Austin (TX),Owner Surrender,Normal,Cat,Spayed Female,Domestic Shorthair Mix,Calico,Spayed Female,positive,478,456,0.6369426751592357,22,7,8
A801056,Austin (TX),Owner Surrender,Normal,Cat,Spayed Female,Domestic Shorthair,Torbie,Spayed Female,positive,390,365,0.6369426751592357,25,7,8
A669924,2500 Allred Dr in Austin (TX),Stray,Normal,Dog,Neutered Male,American Bulldog Mix,White/Black,Neutered Male,positive,732,731,0.1371742112482853,1,12,12
A762687,Howard Lane And Dessau Road in Austin (TX),Stray,Normal,Dog,Intact Male,Black/Tan Hound Mix,Brown/White,Neutered Male,positive,767,731,0.1371742112482853,36,11,12
A753475,Emancipet 7201 Levander Loop in Austin (TX),Stray,Normal,Dog,Neutered Male,German Shepherd Mix,Brown/Black,Neutered Male,positive,213,212,0.1371742112482853,1,7,7
A697526,Hilldale Dr in Austin (TX),Stray,Normal,Dog,Neutered Male,Pit Bull,Gray/Tan,Neutered Male,positive,903,901,0.1371742112482853,2,8,8
A777618,4702 Bergfield in Austin (TX),Wildlife,Normal,Other,Unknown,Raccoon Mix,Black,Unknown,negative,365,365,2.272727272727273,0,7,7
A793029,Austin (TX),Owner Surrender,Normal,Cat,Neutered Male,Domestic Shorthair Mix,Blue/White,Neutered Male,positive,4336,4322,0.6369426751592357,14,4,5
A675212,1301 Parker Lane in Austin (TX),Stray,Normal,Cat,Intact Female,Domestic Shorthair Mix,Chocolate/White,Spayed Female,positive,302,151,0.1371742112482853,151,3,8
A680235,E 31St St And Medical Arts in Austin (TX),Stray,Normal,Cat,Neutered Male,Domestic Shorthair Mix,Brown Tabby,Neutered Male,negative,3659,3652,0.1371742112482853,7,5,6
A616559,7310 Carver Ave in Austin (TX),Stray,Normal,Dog,Spayed Female,Pit Bull Mix,White,Spayed Female,positive,1237,1231,0.1371742112482853,6,11,11
A749522,7201 Levander Loop in Austin (TX),Stray,Normal,Cat,Intact Male,Domestic Shorthair Mix,Orange Tabby,Intact Male,positive,29,1,0.1371742112482853,28,5,6
A783591,Austin (TX),Stray,Normal,Dog,Intact Male,Chihuahua Shorthair Mix,Brown/White,Intact Male,positive,372,365,0.1371742112482853,7,11,11
A793676,Manor (TX),Owner Surrender,Normal,Dog,Intact Male,Great Pyrenees,White,Intact Male,positive,3658,3652,0.6369426751592357,6,4,5
A699994,12135 Thompkins Dr in Austin (TX),Wildlife,Sick,Other,Unknown,Bat,Brown,Unknown,negative,183,182,2.272727272727273,1,4,4
A807823,702 Lamar Place in Austin (TX),Stray,Normal,Cat,Intact Male,Domestic Shorthair,Brown Tabby,Neutered Male,positive,103,58,0.1371742112482853,45,10,12
A745681,Badger Bend And Smith Oak Trl in Austin (TX),Stray,Normal,Cat,Neutered Male,Domestic Shorthair Mix,Blue/White,Neutered Male,positive,370,365,0.1371742112482853,5,3,3
A690210,7000 Ardath Sr in Austin (TX),Wildlife,Injured,Other,Intact Female,Squirrel Mix,Brown,Intact Female,negative,730,730,2.272727272727273,0,10,10
A732728,7619 Scenic Brook in Austin (TX),Public Assist,Sick,Cat,Intact Male,Domestic Shorthair Mix,Black,Intact Male,positive,123,122,1.7857142857142856,1,8,8
A697475,12508 Briarcreek Loop in Travis (TX),Stray,Sick,Dog,Intact Female,Dachshund Mix,Red,Intact Female,negative,5118,5113,0.1371742112482853,5,2,3
A686193,9110 Fm 812 in Austin (TX),Stray,Normal,Cat,Intact Male,Domestic Shorthair Mix,Brown Tabby,Intact Male,positive,15,15,0.1371742112482853,0,8,8
A694124,6103 Lotus Ln in Austin (TX),Stray,Sick,Dog,Neutered Male,Australian Shepherd Mix,Black/Brown,Neutered Male,positive,3663,3652,0.1371742112482853,11,12,12
A775830,4729 Randig Lane in Travis (TX),Stray,Normal,Dog,Intact Female,Chihuahua Shorthair Mix,Brown,Intact Female,positive,303,303,0.1371742112482853,0,7,7
A802197,15101 Diamondleaf Cove in Austin (TX),Stray,Normal,Dog,Intact Female,Miniature Poodle,Black,Intact Female,positive,1827,1826,0.1371742112482853,1,8,8
A682132,Ben White/Manchaca in Austin (TX),Stray,Normal,Cat,Intact Male,Domestic Shorthair Mix,Brown Tabby,Intact Male,positive,22,22,0.1371742112482853,0,6,6
A788684,Austin (TX),Public Assist,Normal,Dog,Intact Male,Pit Bull Mix,Tan,Intact Male,positive,558,551,1.7857142857142856,7,2,2
A697791,2110 Thrasher Ln in Austin (TX),Stray,Normal,Cat,Intact Male,Domestic Shorthair Mix,Brown Tabby/White,Neutered Male,positive,62,6,0.1371742112482853,56,2,4
A804418,Highway 183 And Lakeline Boulevard in Austin (TX),Stray,Normal,Dog,Intact Male,Pointer,Black/White,Intact Male,positive,261,243,0.1371742112482853,18,9,10
A693538,4900 E Howard Ln in Manor (TX),Owner Surrender,Normal,Dog,Intact Female,German Shepherd Mix,Black/Brown,Spayed Female,positive,59,57,0.6369426751592357,2,12,12
A678488,Heflin Ln in Austin (TX),Stray,Normal,Cat,Intact Male,Domestic Shorthair Mix,Brown Tabby,Intact Male,positive,22,22,0.1371742112482853,0,5,5
A725216,Delta Post Dr And Arizona Oak Ln in Austin (TX),Stray,Normal,Dog,Intact Male,Chihuahua Shorthair Mix,Tan/White,Neutered Male,positive,1114,1112,0.1371742112482853,2,5,5
A736163,South First in Austin (TX),Stray,Injured,Cat,Intact Female,Domestic Medium Hair Mix,Brown Tabby/White,Intact Female,positive,61,61,0.1371742112482853,0,10,10
A694163,11911 Tedford St in Austin (TX),Stray,Normal,Dog,Intact Male,Podengo Pequeno Mix,Chocolate/White,Neutered Male,positive,371,365,0.1371742112482853,6,12,12
A758423,Austin (TX),Owner Surrender,Normal,Cat,Spayed Female,Domestic Shorthair Mix,Calico,Spayed Female,positive,2558,2557,0.6369426751592357,1,9,9
A735681,Dittmar Rd And Lunar Dr in Austin (TX),Stray,Normal,Dog,Intact Male,Chihuahua Shorthair Mix,Black,Neutered Male,positive,124,123,0.1371742112482853,1,9,9
A810936,Garfield Lane And Shreveport Drive in Austin (TX),Stray,Normal,Dog,Intact Male,Golden Retriever Mix,Gold/White,Intact Male,positive,1102,1095,0.1371742112482853,7,12,12
A666303,4494 Frontier Trl in Austin (TX),Stray,Injured,Cat,Intact Male,Domestic Shorthair Mix,Brown Tabby/Black,Neutered Male,positive,86,34,0.1371742112482853,52,10,12
A797311,Webberville And Heflin in Austin (TX),Stray,Normal,Dog,Intact Female,Chihuahua Shorthair Mix,Black/White,Spayed Female,positive,217,212,0.1371742112482853,5,6,6
A688460,5800 Colton Rd in Austin (TX),Stray,Normal,Cat,Intact Female,Domestic Shorthair Mix,Torbie,Spayed Female,positive,84,16,0.1371742112482853,68,9,11
A685067,1901 Crossing Place in Austin (TX),Stray,Normal,Cat,Intact Female,Domestic Shorthair Mix,Blue Tabby/White,Intact Female,positive,59,46,0.1371742112482853,13,8,8
A767873,Del Valle (TX),Owner Surrender,Normal,Dog,Spayed Female,German Shepherd Mix,Black/Brown,Spayed Female,positive,854,854,0.6369426751592357,0,7,7
A704379,Circle Dr And Hwy 290 in Austin (TX),Stray,Normal,Dog,Intact Male,Tibetan Terrier/Lhasa Apso,Black/White,Neutered Male,positive,308,304,0.1371742112482853,4,6,6
A794255,13825 Springheath in Pflugerville (TX),Stray,Normal,Cat,Intact Female,Domestic Shorthair Mix,Tortie,Spayed Female,positive,75,27,0.1371742112482853,48,5,6
A782628,409 Treys Way in Austin (TX),Stray,Normal,Cat,Intact Female,Domestic Medium Hair Mix,Gray Tabby,Intact Female,positive,27,27,0.1371742112482853,0,10,10
A697450,Eason St /10Th in Austin (TX),Stray,Normal,Dog,Spayed Female,Border Collie/Labrador Retriever,Black/White,Spayed Female,positive,914,914,0.1371742112482853,0,2,2
A728641,Manchaca Rd And W Dittmar Rd in Austin (TX),Stray,Normal,Cat,Intact Male,Domestic Shorthair Mix,Black,Intact Male,positive,53,46,0.1371742112482853,7,6,6
A712280,8905 Wiley Way in Austin (TX),Stray,Normal,Dog,Intact Male,West Highland/Cairn Terrier,White/Gray,Neutered Male,positive,307,304,0.1371742112482853,3,9,9
A670088,Austin (TX),Owner Surrender,Normal,Dog,Spayed Female,German Shepherd Mix,Sable,Spayed Female,positive,743,742,0.6369426751592357,1,1,1
A700882,9121 Nih35 in Austin (TX),Public Assist,Normal,Dog,Intact Female,Labrador Retriever Mix,Black,Intact Female,positive,754,730,1.7857142857142856,24,4,5
A678173,Austin (TX),Public Assist,Normal,Dog,Neutered Male,Plott Hound Mix,Brown Brindle/White,Neutered Male,positive,1836,1826,1.7857142857142856,10,5,5
A800204,4710 E 5Th St in Austin (TX),Stray,Sick,Cat,Intact Female,Domestic Longhair,Torbie,Intact Female,negative,65,61,0.1371742112482853,4,7,7
A739717,Austin (TX),Owner Surrender,Normal,Dog,Spayed Female,German Shepherd Mix,Tan/White,Spayed Female,positive,2940,2922,0.6369426751592357,18,12,12
A712896,3209 S Ih 35 in Austin (TX),Stray,Normal,Cat,Intact Female,Domestic Medium Hair Mix,Torbie/White,Spayed Female,positive,124,24,0.1371742112482853,100,9,1
A788152,1620 Bush Coat Lane in Austin (TX),Stray,Normal,Dog,Intact Male,Basset Hound Mix,Red/White,Intact Male,positive,1827,1826,0.1371742112482853,1,1,1
A681113,Austin (TX),Public Assist,Normal,Dog,Intact Male,Chihuahua Shorthair/Jack Russell Terrier,Tricolor,Neutered Male,positive,224,212,1.7857142857142856,12,6,6
A726839,Austin (TX),Owner Surrender,Normal,Cat,Intact Female,Domestic Shorthair Mix,Tortie,Intact Female,positive,39,30,0.6369426751592357,9,5,5
A712906,6502 Porter St in Austin (TX),Stray,Normal,Dog,Intact Female,Finnish Spitz Mix,Sable,Spayed Female,positive,379,365,0.1371742112482853,14,9,10
A803917,Travis (TX),Owner Surrender,Normal,Dog,Intact Female,Labrador Retriever Mix,Black/White,Intact Female,positive,6,5,0.6369426751592357,1,9,9
A728361,301 W 2Nd St in Austin (TX),Stray,Injured,Cat,Intact Male,Domestic Medium Hair Mix,Black,Neutered Male,positive,98,92,0.1371742112482853,6,6,6
A785104,3206 East Sixteenth Street in Austin (TX),Stray,Normal,Cat,Intact Female,Domestic Medium Hair Mix,Torbie,Intact Female,positive,75,53,0.1371742112482853,22,11,12
A629175,Pflugerville (TX),Owner Surrender,Normal,Dog,Spayed Female,Labrador Retriever/German Shepherd,Brown/White,Spayed Female,positive,2003,1987,0.6369426751592357,16,1,1
A739666,Harvey And East 17Th in Austin (TX),Stray,Normal,Dog,Intact Male,Black Mouth Cur Mix,Brown/Black,Neutered Male,positive,317,304,0.1371742112482853,13,12,12
A605654,Valley Hill Cir And Burton in Austin (TX),Stray,Normal,Dog,Spayed Female,Pit Bull Mix,Blue/White,Spayed Female,positive,1422,1419,0.1371742112482853,3,10,10
A758887,7606 Cognac Cove in Austin (TX),Stray,Normal,Cat,Intact Male,Domestic Shorthair Mix,Black/White,Intact Male,positive,56,50,0.1371742112482853,6,9,9
A681575,Austin (TX),Owner Surrender,Normal,Dog,Spayed Female,Labrador Retriever/Blue Lacy,Tricolor,Spayed Female,positive,61,60,0.6369426751592357,1,7,7
A672808,S 1St And Wm Cannon in Austin (TX),Stray,Normal,Dog,Intact Male,Border Collie Mix,Black/White,Neutered Male,positive,66,62,0.1371742112482853,4,2,2
A691613,1301 Mopac in Austin (TX),Stray,Sick,Cat,Intact Female,Domestic Shorthair Mix,Gray Tabby/White,Intact Female,negative,75,61,0.1371742112482853,14,11,11
A768859,400 Grove Blvd in Austin (TX),Stray,Normal,Dog,Intact Male,Great Pyrenees Mix,Brown/Tricolor,Intact Male,positive,87,71,0.1371742112482853,16,3,4
A809303,Travis (TX),Public Assist,Normal,Bird,Unknown,Canary,Yellow,Unknown,positive,187,184,1.7857142857142856,3,11,11
A578153,Remington And Thunderhead in Travis (TX),Stray,Normal,Dog,Spayed Female,Queensland Heeler/Labrador Retriever,Black/Tan,Spayed Female,positive,3117,3114,0.1371742112482853,3,11,11
A723113,10301 Fm 2222 in Austin (TX),Public Assist,Normal,Dog,Neutered Male,Rat Terrier Mix,Black/Brown,Neutered Male,positive,732,731,1.7857142857142856,1,3,3
A767032,Rundburg And Ih35 in Austin (TX),Stray,Normal,Dog,Intact Male,Dalmatian Mix,White/Black,Neutered Male,positive,326,306,0.1371742112482853,20,2,3
A707413,Austin (TX),Owner Surrender,Normal,Dog,Spayed Female,Pharaoh Hound Mix,Brown,Spayed Female,positive,388,376,0.6369426751592357,12,7,7
A691111,Lakeway (TX),Owner Surrender,Normal,Dog,Intact Female,Miniature Schnauzer Mix,Gray,Spayed Female,positive,733,730,0.6369426751592357,3,10,11
A685277,6303 Huntleigh Way in Austin (TX),Stray,Normal,Cat,Intact Female,Domestic Shorthair Mix,Blue Tabby/White,Intact Female,positive,36,29,0.1371742112482853,7,8,8
A617061,Austin (TX),Owner Surrender,Injured,Cat,Neutered Male,Domestic Medium Hair Mix,Orange Tabby,Neutered Male,negative,1129,1124,0.6369426751592357,5,8,9
A728817,8313 Cobblestone in Austin (TX),Wildlife,Normal,Other,Unknown,Bat Mix,Red,Unknown,negative,32,31,2.272727272727273,1,6,6
A682520,7506 Compass Dr in Travis (TX),Stray,Sick,Cat,Intact Male,Domestic Shorthair Mix,Black,Intact Male,positive,32,31,0.1371742112482853,1,6,6
A769116,Pond Springs Road And Highway 183 in Austin (TX),Stray,Normal,Cat,Intact Female,Domestic Longhair Mix,Calico,Intact Female,positive,2929,2922,0.1371742112482853,7,3,4
A629185,6605 Johnny Morris Cv in Austin (TX),Public Assist,Normal,Dog,Spayed Female,Chihuahua Shorthair Mix,Tan/White,Spayed Female,positive,3143,3135,1.7857142857142856,8,7,7
A678743,Staggerbrush Rd And Monterey Oaks in Austin (TX),Stray,Normal,Cat,Intact Female,Domestic Shorthair Mix,Brown Tabby/White,Intact Female,positive,24,24,0.1371742112482853,0,5,5
A684649,7201 Levander Loop in Austin (TX),Stray,Normal,Cat,Intact Male,Domestic Shorthair Mix,Orange Tabby/White,Neutered Male,positive,183,181,0.1371742112482853,2,11,11
A676193,Spicewood And Mcneil in Austin (TX),Stray,Injured,Cat,Unknown,Domestic Shorthair Mix,Gray,Unknown,positive,6,6,0.1371742112482853,0,4,4
A781055,Austin (TX),Stray,Normal,Cat,Intact Male,Domestic Shorthair Mix,Black,Neutered Male,positive,126,46,0.1371742112482853,80,9,12
A799262,Thaxton Road in Austin (TX),Stray,Normal,Dog,Intact Female,Chihuahua Shorthair,Brown/White,Spayed Female,positive,1843,1826,0.1371742112482853,17,7,7
A693058,1602 Chesnut Ave in Austin (TX),Stray,Normal,Dog,Intact Male,Cairn Terrier Mix,Tan,Neutered Male,positive,369,365,0.1371742112482853,4,12,12
A699374,Spring Meadow in Austin (TX),Stray,Normal,Dog,Intact Male,Rottweiler,Black/Tan,Intact Male,positive,1106,730,0.1371742112482853,376,3,4
A750475,6208 Tiner Trail in Austin (TX),Stray,Normal,Cat,Intact Male,Domestic Shorthair Mix,Brown Tabby,Neutered Male,positive,58,23,0.1371742112482853,35,5,7
A808778,10504 Ruidosa Street in Austin (TX),Stray,Normal,Cat,Unknown,Domestic Shorthair,Brown Tabby,Unknown,positive,553,549,0.1371742112482853,4,11,11
A755321,2232 Sunny Hills Dr in Austin (TX),Stray,Normal,Dog,Intact Female,German Shepherd,Brown/Black,Spayed Female,positive,370,365,0.1371742112482853,5,8,8
A707423,3721 Ranch Rd 620 N in Austin (TX),Stray,Normal,Cat,Intact Male,Domestic Shorthair Mix,Black/White,Neutered Male,positive,95,33,0.1371742112482853,62,7,9
A722354,1504 Estrellas Dr in Del Valle (TX),Stray,Normal,Dog,Intact Male,Chinese Sharpei Mix,Tan,Neutered Male,positive,377,366,0.1371742112482853,11,3,3
A801650,2104 San Gabriel Street in Austin (TX),Stray,Normal,Cat,Intact Female,Domestic Shorthair,Black,Spayed Female,positive,139,122,0.1371742112482853,17,8,8
A808853,Outside Jurisdiction,Stray,Nursing,Dog,Intact Female,Miniature Poodle Mix,Apricot,Intact Female,positive,35,31,0.1371742112482853,4,11,11
A770236,Pfluger Berkman Road And Manda Carlson Road in Austin (TX),Stray,Normal,Dog,Intact Female,Rat Terrier,White/Brown,Spayed Female,positive,249,242,0.1371742112482853,7,10,10
A689137,2011 Greenbrook Pkwy in Austin (TX),Stray,Normal,Cat,Intact Male,Domestic Shorthair Mix,Orange Tabby,Neutered Male,positive,73,62,0.1371742112482853,11,9,10
A749941,2305 Billy Fiske Lane in Austin (TX),Stray,Normal,Cat,Spayed Female,Domestic Medium Hair Mix,Brown Tabby,Spayed Female,positive,1101,1096,0.1371742112482853,5,5,5
A770023,Metric Boulevard And West Braker Lane in Austin (TX),Stray,Normal,Dog,Spayed Female,Siberian Husky Mix,Black/White,Spayed Female,positive,368,365,0.1371742112482853,3,4,4
A737371,Bluff Springs Dr in Austin (TX),Stray,Normal,Cat,Intact Male,Domestic Shorthair Mix,Orange Tabby/White,Neutered Male,positive,101,63,0.1371742112482853,38,10,12
A695905,Del Valle (TX),Owner Surrender,Normal,Dog,Intact Female,Border Collie Mix,Tricolor,Spayed Female,positive,62,61,0.6369426751592357,1,1,1
A717087,Austin (TX),Owner Surrender,Normal,Dog,Spayed Female,Miniature Poodle Mix,White/Black,Spayed Female,positive,377,375,0.6369426751592357,2,12,12
A769456,1416 Ransom St in Travis (TX),Wildlife,Sick,Other,Unknown,Fox Mix,Black,Unknown,negative,365,365,2.272727272727273,0,4,4
